     c cost:                                                                           opt  /lb      rc2comp     opt  /lb     maxres     
     TWComp_myciel5_N47.wcnf.gz                                                        -1   /17    3600        -1   /17    3600      
     TWComp_1c75_N69.wcnf.gz                                                           -1   /23    3600        -1   /23    3600      
     TWComp_barley2_N48.wcnf.gz                                                        7    /7     2.4759      7    /7     3.2125    
     TWComp_david_N87.wcnf.gz                                                          13   /13    21.9579     13   /13    21.7907   
     TWComp_alarm_N37.wcnf.gz                                                          4    /4     0.0251      4    /4     0.0161    
     TWComp_mainuk_N48.wcnf.gz                                                         7    /7     0.1816      7    /7     0.1731    
     TWComp_mildew_35.wcnf.gz                                                          4    /4     0.0356      4    /4     0.0367    
     TWComp_queen5_5_N25.wcnf.gz                                                       -1   /16    3600        -1   /16    3600      
     TWComp_jean_N77.wcnf.gz                                                           9    /9     0.5254      9    /9     0.5184    
     TWComp_oesoca_N39.wcnf.gz                                                         3    /3     0.0186      3    /3     0.0186    
     TWComp_barle_N48.wcnf.gz                                                          7    /7     2.3757      7    /7     2.333     
     TWComp_water_N32.wcnf.gz                                                          9    /9     0.8522      9    /9     0.8848    
     simp-unif-30_50r40.01.wcnf.gz                                                     18   /-1    0.0024      18   /-1    0.0036    
     simp-unif-50_30.20.wcnf.gz                                                        13   /-1    0.0007      13   /-1    0.0006    
     simp-unif-30_50r4.04.wcnf.gz                                                      13   /-1    0.0011      13   /-1    0.0007    
     simp-cf_15.03.wcnf.gz                                                             17   /17    0.002       17   /17    0.0019    
     simp-unif-10_50r40.02.wcnf.gz                                                     17   /17    0.0035      17   /17    0.0023    
     simp-ace_35.09.wcnf.gz                                                            13   /13    0.0009      13   /13    0.0009    
     simp-ibd_45.07.wcnf.gz                                                            51   /51    0.2332      51   /51    0.5445    
     simp-abcd_25.08.wcnf.gz                                                           18   /18    0.0012      18   /18    0.0014    
     SU2__simp-genos.haps.61.wcnf.gz                                                   161  /-1    0.0011      161  /-1    0.0011    
     SU-100kb__simp-genos.haps.24.wcnf.gz                                              31   /31    0.5139      31   /31    1.0645    
     c1355_F127gat-418gat@1.wcnf.gz                                                    33   /33    0.0502      33   /33    0.0443    
     normalized-ii8a2.wcnf.gz                                                          139  /139   0.1036      139  /139   0.0695    
     1bpi_.2knt_.g.wcnf.t.wcnf.gz                                                      35   /35    84.5201     35   /35    137.3529  
     1bpi_.5pti_.g.wcnf.t.wcnf.gz                                                      29   /29    18.125      29   /29    31.2923   
     sandiaprotein.g.wcnf.t.wcnf.gz                                                    28   /28    18.4549     28   /28    40.8249   
     3ebx_.6ebx_.g.wcnf.t.wcnf.gz                                                      23   /23    5.1323      23   /23    5.3658    
     6ebx_.1era_.g.wcnf.t.wcnf.gz                                                      30   /30    58.2031     30   /30    62.3313   
     p1.wcnf.t.wcnf.gz                                                                 35   /35    86.3919     35   /35    181.8482  
     1vii_.1cph_.g.wcnf.t.wcnf.gz                                                      7    /7     0.0101      7    /7     0.0117    
     1knt_.5pti_.g.wcnf.t.wcnf.gz                                                      29   /29    52.3397     29   /29    36.6296   
     1knt_.1bpi_.g.wcnf.t.wcnf.gz                                                      35   /35    98.7694     35   /35    179.0055  
     2knt_.5pti_.g.wcnf.t.wcnf.gz                                                      32   /32    61.9343     32   /32    40.9231   
     3ebx_.1era_.g.wcnf.t.wcnf.gz                                                      34   /34    180.9253    34   /34    230.0084  
     1knt_.2knt_.g.wcnf.t.wcnf.gz                                                      16   /16    0.7816      16   /16    0.6436    
     data.729.wcnf.gz                                                                  -1   /427   3600        -1   /393   3600      
     data.405.wcnf.gz                                                                  -1   /189   3600        -1   /193   3600      
     data.135.wcnf.gz                                                                  -1   /70    3600        -1   /65    3600      
     data.243.wcnf.gz                                                                  -1   /159   3600        -1   /161   3600      
     cnf.17.t.10.wcnf.gz                                                               17   /17    116.7343    17   /17    131.9547  
     cnf.19.d.10.wcnf.gz                                                               19   /19    29.8746     19   /19    33.4988   
     cnf.13.p.6.wcnf.gz                                                                13   /13    70.255      13   /13    70.0375   
     cnf.11.p.9.wcnf.gz                                                                11   /11    326.1913    11   /11    716.2741  
     cnf.14.p.5.wcnf.gz                                                                14   /14    108.7282    14   /14    336.4087  
     cnf.14.p.8.wcnf.gz                                                                14   /14    344.9279    14   /14    432.5892  
     cnf.8.p.9.wcnf.gz                                                                 8    /8     58.4359     8    /8     64.2908   
     cnf.19.t.7.wcnf.gz                                                                19   /19    90.9684     19   /19    56.467    
     cnf.14.d.10.wcnf.gz                                                               14   /14    67.07       14   /14    78.2868   
     cnf.16.p.4.wcnf.gz                                                                16   /16    46.9253     16   /16    55.3629   
     cnf.19.p.5.wcnf.gz                                                                19   /19    96.6481     19   /19    78.6412   
     cnf.15.p.10.wcnf.gz                                                               15   /15    493.9434    15   /15    2028.1553 
     cnf_small.wcnf.gz                                                                 -1   /23    3600        -1   /22    3600      
     cnf_12.wcnf.gz                                                                    -1   /58    3600        -1   /48    3600      
     cnf_12_center.wcnf.gz                                                             237  /237   361.102     237  /237   431.1683  
     cnf_10.wcnf.gz                                                                    -1   /44    3600        -1   /42    3600      
     cnf_10_center.wcnf.gz                                                             -1   /158   3600        -1   /157   3600      
     uaq-nr-nr400-nc133-n3-k2-rpp4-ppr2-plb50.wcnf.gz                                  57   /57    0.0081      57   /57    0.0079    
     uaq-nr-nr190-nc63-n3-k2-rpp4-ppr2-plb50.wcnf.gz                                   51   /51    3.7147      51   /51    1.0814    
     uaq-nr-nr210-nc70-n3-k2-rpp4-ppr2-plb50.wcnf.gz                                   59   /59    28.0893     59   /59    8.0644    
     uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr13-plb100.wcnf.gz                                -1   /53    3600        -1   /55    3600      
     uaq-rpp-nr100-nc33-n3-k2-rpp19-ppr2-plb20.wcnf.gz                                 66   /66    29.0022     66   /66    94.8713   
     uaq-nr-nr160-nc53-n3-k2-rpp4-ppr2-plb50.wcnf.gz                                   52   /52    9.3721      52   /52    21.202    
     uaq-nr-nr410-nc136-n3-k2-rpp4-ppr2-plb50.wcnf.gz                                  68   /68    0.0054      68   /68    0.0053    
     uaq-nr-nr180-nc60-n3-k2-rpp4-ppr2-plb50.wcnf.gz                                   54   /54    16.3391     54   /54    11.0931   
     uaq-nr-nr110-nc36-n3-k2-rpp4-ppr2-plb50.wcnf.gz                                   45   /45    4.7726      45   /45    2.9995    
     uaq-rpp-nr100-nc33-n3-k2-rpp16-ppr2-plb20.wcnf.gz                                 62   /62    32.8759     62   /62    71.5385   
     uaq-nr-nr100-nc33-n3-k2-rpp4-ppr2-plb50.wcnf.gz                                   44   /44    8.1787      44   /44    8.6948    
     uaq-rpp-nr100-nc33-n3-k2-rpp9-ppr2-plb20.wcnf.gz                                  50   /50    25.3804     50   /50    45.9548   
     GenHyperTW_aim-50-3_4-yes1-3.wcnf.gz                                              -1   /4     3600        -1   /4     3600      
     GenHyperTW_flat30-50.wcnf.gz                                                      -1   /4     3600        -1   /4     3600      
     GenHyperTW_atv_partial_system.wcnf.gz                                             -1   /2     3600        -1   /2     3600      
     GenHyperTW_adder_15.wcnf.gz                                                       2    /2     386.3985    2    /2     391.5532  
     GenHyperTW_pret60_25.wcnf.gz                                                      -1   /2     3600        -1   /2     3600      
     GenHyperTW_uf20-099.wcnf.gz                                                       -1   /4     3600        -1   /4     3600      
     GenHyperTW_grid5.wcnf.gz                                                          3    /3     8.1666      3    /3     19.5432   
     GenHyperTW_b02.wcnf.gz                                                            3    /3     0.8887      3    /3     0.9099    
     GenHyperTW_clique_15.wcnf.gz                                                      -1   /4     3600        -1   /4     3600      
     GenHyperTW_dubois25.wcnf.gz                                                       -1   /2     3600        -1   /2     3600      
     GenHyperTW_hole6.wcnf.gz                                                          -1   /4     3600        -1   /4     3600      
     GenHyperTW_par8-3-c.wcnf.gz                                                       -1   /2     3600        -1   /2     3600      
***  cellda_y_9.wcnf.gz                                                                -1   /3     3600        6    /6     2214.114  
     sysadmin_5_4.wcnf.gz                                                              -1   /-1    3600        -1   /-1    3600      
     sysadmin_4_3.wcnf.gz                                                              2    /2     973.0001    2    /2     1291.0695 
     navigation_4x4_7.wcnf.gz                                                          5    /5     339.9046    5    /5     344.1493  
     navigation_5x5_10.wcnf.gz                                                         8    /8     1414.5467   8    /8     1933.4334 
     navigation_4x4_5.wcnf.gz                                                          5    /5     91.7602     5    /5     78.6267   
+++  cellda_y_10.wcnf.gz                                                               6    /6     3020.0624   -1   /5     3600      
     navigation_5x5_8.wcnf.gz                                                          8    /8     1531.2531   8    /8     1086.9174 
     sysadmin_4_4.wcnf.gz                                                              3    /3     2000.2307   3    /3     2058.1451 
     sysadmin_5_3.wcnf.gz                                                              -1   /-1    3600        -1   /-1    3600      
     navigation_3x3_5.wcnf.gz                                                          4    /4     4.0978      4    /4     3.8974    
     navigation_5x5_9.wcnf.gz                                                          8    /8     2137.1596   8    /8     1850.9931 
